Common,Scientific,iNat_code,BRPC_recs,BRPC_%,BRPC_spp,url
Fishes,Actinopterygii,47178,200,6,14,https://www.inaturalist.org/taxa/47178
Brown seaweed,Chromista,48220,231,6.9,14,https://www.inaturalist.org/taxa/48220
Red seaweed,Rhodophyta,57774,276,8.3,29,https://www.inaturalist.org/taxa/57774
Green seaweed,Chlorophyta,50863,70,2.1,6,https://www.inaturalist.org/taxa/50863
Molluscs,Mollusca,47115,621,18.7,38,https://www.inaturalist.org/taxa/47115
Crustaceans,Crustacea,85493,703,21.1,28,https://www.inaturalist.org/taxa/85493
Sea anemones,Actiniaria,47797,474,14.2,6,https://www.inaturalist.org/taxa/47797
Worms,Annelida,47491,176,5.3,18,https://www.inaturalist.org/taxa/47491
Echinoderms,Echinodermata,47549,166,5,8,https://www.inaturalist.org/taxa/47549
Sea squirts,Tunicata,130868,59,1.8,8,https://www.inaturalist.org/taxa/130868
Sponges,Porifera,48824,59,1.8,10,https://www.inaturalist.org/taxa/48824
